TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2006;United Kingdom;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;United Kingdom;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;United Kingdom;Syria;Total;Total;Number;;
2006;United Kingdom;Syria;Total;Males;Number;;
2006;United Kingdom;Syria;Total;Females;Number;;
2006;Iceland;Foreign country;Total;Total;Number;13,778;
2006;Iceland;Foreign country;Total;Males;Number;;
2006;Iceland;Foreign country;Total;Females;Number;;
2006;Iceland;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Iceland;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Iceland;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Iceland;Syria;Total;Total;Number;6;
2006;Iceland;Syria;Total;Males;Number;;
2006;Iceland;Syria;Total;Females;Number;;
2006;Liechtenstein;Foreign country;Total;Total;Number;;
2006;Liechtenstein;Foreign country;Total;Males;Number;;
2006;Liechtenstein;Foreign country;Total;Females;Number;;
2006;Liechtenstein;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Liechtenstein;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Liechtenstein;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Liechtenstein;Syria;Total;Total;Number;;
2006;Liechtenstein;Syria;Total;Males;Number;;
2006;Liechtenstein;Syria;Total;Females;Number;;
2006;Norway;Foreign country;Total;Total;Number;222,277;
2006;Norway;Foreign country;Total;Males;Number;109,565;
2006;Norway;Foreign country;Total;Females;Number;112,712;
2006;Norway;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Norway;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Norway;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Norway;Syria;Total;Total;Number;369;
2006;Norway;Syria;Total;Males;Number;185;
2006;Norway;Syria;Total;Females;Number;184;
2006;Switzerland;Foreign country;Total;Total;Number;1,541,912;
2006;Switzerland;Foreign country;Total;Males;Number;813,456;
2006;Switzerland;Foreign country;Total;Females;Number;728,456;
2006;Switzerland;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Switzerland;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Switzerland;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Switzerland;Syria;Total;Total;Number;786;
2006;Switzerland;Syria;Total;Males;Number;438;
2006;Switzerland;Syria;Total;Females;Number;348;
2006;Montenegro;Foreign country;Total;Total;Number;;
2006;Montenegro;Foreign country;Total;Males;Number;;
2006;Montenegro;Foreign country;Total;Females;Number;;
2006;Montenegro;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Montenegro;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Montenegro;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Montenegro;Syria;Total;Total;Number;;
2006;Montenegro;Syria;Total;Males;Number;;
2006;Montenegro;Syria;Total;Females;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Foreign country;Total;Total;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Foreign country;Total;Males;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Foreign country;Total;Females;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Syria;Total;Total;Number;;
2006;Former Yugoslav Republic of Macedonia. the;Syria;Total;Males;Number;;
